,category,system,instruction,context,question,response
3000,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Exam ma top garne kasari?,"Daily timetable banayera padne, notes revise garne ani past questions practice garne."
3001,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","bus, cycle, car, rukh","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Rukh sawari ko sadhan hoina, aru tinwota sawari ka sadhan hun."
3002,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,Ek environmentalist le river cleanup campaign lead garcha. Aba campaign le polluted river lai clean garna dherai help garcha.,Environmentalist ko campaign le polluted river clean garcha.
3003,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali New Year ko tarikh ke ho?,Nepali New Year Bikram Sambat ko Baisakh Mahina ko pahilo din parcha.
3004,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Yatra ko lagi Nepal ma kun mausam sabai bhanda ramro ho?,Basanta (March-April) ra Sharad (October-November) Nepal yatra ko lagi sabai bhanda ramro mausam ho.
3005,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Tapai kasari phone lock pin change garna saknuhuncha?,"Phone settings ma janus, security section kholnus ani pin change option select garnus."
3006,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Yo meeting ma chai timely present hunu parcha.,You need to be present in this meeting on time.
3007,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Kathmandu ma ratri jivan ma kun kun activities popular hun?,"Kathmandu ma ratri jivan ma Thamel ma live music, clubs, street food tour, ra late-night shopping popular activities hun."
3008,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Tyo meeting ta aba cancel bhayo.,That meeting has now been canceled.
3009,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"She stayed up late, staring at the stars, wondering about the mysteries of the universe.","Usle derai bela samma sutina, tara taara herdai, sansar ko rahasya haru bare socdai."
3010,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,"The teacher patiently explained the complex problem to the students, breaking it down into smaller parts so that everyone could understand easily.","Guruji le dherai dhairya sanga samasya lai bidyarthi haru lai bujaunu bhae, thulo kura lai saano saano bhaag ma todnu bhaera sabai le sajilo sanga bujne garyo."
3011,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,maile socheko thiyena,I didn't expect that.
3012,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,"The bustling marketplace was alive with the sounds of bargaining vendors, chattering customers, and the occasional laughter of children running through the crowded lanes.","Byasta bajaar dokandar haru ko mol tol garne awaj, grahak haru ko kura kaani ra bheed bhaireko bato ma kheliraheka bachha haru ko hasilo awaj le jeevit thiyo."
3013,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal's agriculture sector faces challenges like fragmented land, lack of modern technology, and unpredictable weather patterns due to climate change.",Nepal ma agriculture sector ko challenges ko barema bataunus.,"Nepal ko agriculture sector ma fragmented land, modern technology ko kami, ra climate change ko karan unpredictable weather patterns jasta challenges chan."
3014,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",,Nepal ko itihas ko barema jankari dinus.,"Nepal ek prachin desh ho, jaha ekikaran Prithvi Narayan Shah le 18th century ma garnu bhayo. Yo desh Gautam Buddha ko janma sthaan pani ho."
3015,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,Pokhara ma ek din samudayik program ma sabai sathiharu sanga taal ko ramailo kura ra dherai sanskriti geet gaye. Yo program le purano mitrata jhagayo.,Pokhara program le taal ra geet ko madhyam bata mitrata jhagayo.
3016,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Daily cooking ma time kasari bachaucha?,Daily cooking ma time bachaunda meal planning ko importance cha. Ek din aghi chopping ani marination garera ingredients ready rakhne. Simple ani quick recipes ko preference dine. Pressure cooker ya one-pot recipes le cooking time kam garna madad garna sakcha. Batch cooking garera tyo food fridge ma store garne. Ready-made masala ya pre-cut vegetables pani time save garna use huncha.
3017,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Nepal ko chhimeki desh Bharat ma Hindi ra Angrezi pramukh bhasha haru ho. Chin ma Mandarin bhasha bolincha.,Nepal ma chhimeki desh ko bhasha ko parichay?,Nepal ko chhimeki desh Bharat ma Hindi ra Angrezi bhasha haru ho. Chin ma Mandarin bhasha bolincha.
3018,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali gaunghar ma prashiddha khel ko naam dinu.,"Chungi, Dandi Biyo, ra Kabbadi Nepali gaunghar ma prashiddha khel haru hun."
3019,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","doodh, paani, chaamal, maasu","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Chaamal piune kura hoina, aru tinwota piune kura hun."
3020,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","Account Details: Registered email: example@example.com
Order Status: Payment Pending
To update payment methods, users must log in to their account, navigate to 'My Orders,' and select the order requiring payment. Under the 'Payment Method' section, users can choose to pay via Credit/Debit Card, Net Banking, or Mobile Wallets. Note: Payment cannot be updated after order confirmation.",Payment method kasari update garna sakincha?,"Payment method update garna, 'My Orders' ma janus, order select garnus, ra 'Payment Method' section bata Credit/Debit Card, Net Banking, ya Mobile Wallet channus."
3021,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Tyo report le chai hamro findings clearly summarize gareko cha.,That report has clearly summarized our findings.
3022,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,"The chef skillfully flipped the vegetables in the sizzling pan, the aroma of spices filling the room as everyone watched in awe.","Chef le chhanotta ko sath tadako tawa ma tarakari haru palti diyera banaunda, masala ko sugandha kotha bharieko thiyo ra sabai manchele adbhut sanga heriraheko thiyo."
3023,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko prasiddha temple Pashupatinath ho, jo Kathmandu ma sthit cha. Pashupatinath, Hindu dharmik yatra ko ek mahatvapurn sthal ho.",Nepal ko prasiddha temple k ho?,"Pashupatinath, Nepal ko prasiddha temple ho."
3024,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali itihas ko janakari dinuhos.,"Nepali itihas ko prarambh Lichhavi kaal bata huncha, Shaha rajvans le Nepal ko ekikaran gare, ani Rana kaal pachi prajatantra aayo."
3025,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko bhari matra samundrik desh ho, kyo ki yo samundrako saath karyanwayan garne pradesh nahi cha. Nepal ko bhugolik sthiti chhimeki desh ko saath garbhi garna pauxa.",Nepal ko bhari matra samundrik desh kun ho?,Nepal ko bhari matra samundrik desh ho.
3026,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Eco-Friendly Packaging: Customers can opt for eco-friendly packaging during checkout by selecting the 'Sustainable Packaging' option under the delivery preferences section. A nominal fee of Rs. 20 is charged per order. Eco-friendly packaging includes recyclable materials and minimal plastic usage.,Kasari eco-friendly packaging choose garna sakincha?,Eco-friendly packaging choose garna checkout ma 'Sustainable Packaging' option select garnus. Rs. 20 ko nominal fee lagu huncha.
3027,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,Can you help me?,Ke tapaai malai madad garna saknuhunchha?
3028,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Nepal ko sabai bhanda thulo park Bardiya National Park ho. Yo park dherai paryatan ra jangali jeev ko suraksha kendra ho.,Nepal ko sabai bhanda thulo park kahan cha?,Nepal ko sabai bhanda thulo park Bardiya National Park ho.
3029,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Maile usko number save gareko chaina.,I havenâ€™t saved his number.
3030,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Maile tyo opportunity grab garna dherai excited feel gare.,I felt very excited to grab that opportunity.
3031,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko ek prasiddha pahar Pumori ho, jo Mount Everest ko pashchim disha ma sthit cha. Pumori ko uchai 7,161 meter cha ra yo ek adventure climbers ko madhyama ma prasiddha ho. Pumori, Mount Everest ko safar garne haru ko liye ek important stop cha, jaha ko trekking route le Himalayan region ko darshan garincha.",Nepal ko ek prasiddha pahar k ho?,"Pumori, Nepal ko ek prasiddha pahar ho, jo Everest ko pashchim disha ma sthit cha ra climbers ko liye mahatvapurn stop ho."
3032,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,The small family-run restaurant was known for its delicious home-cooked meals. Customers enjoyed the cozy atmosphere while savoring the freshly prepared food served with care.,Sano parivaar dwara chalne restaurant mitho ghar jasto khana ko lagi prasiddha thiyo. Grahak haru naramro mahol ma basera maya le diyeko taja baneko khana ko maja linthyo.
3033,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Hamro website ma discount haru seasonal offer ko roop ma upalabdha hunchha. Tapai le 'Deals of the Day' section ma up to 50% discount paye saknuhuncha. Order cancel garna, 'My Orders' section ma gaera 'Cancel Order' option select garnuhos. Refund process bank transfer ka lagi 5-7 din lagna sakchha.",Discount ko barema thaha dinuhos.,Hamro website ma seasonal offer ko roop ma discount haru upalabdha hunchha. 'Deals of the Day' section ma up to 50% discount available cha.
3034,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Maile uslai tesko lagi sorry bhane.,I apologized to him for that.
3035,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali sanskriti ka ek ek prakriya ko naam ra tyo ko prabhav lekhnu.,"Shaheed Diwas ek samajik mahatwa ko prakriya ho, jun le shaheedharu ko aadar ra sanman ko mahatwa darshauchha."
3036,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal world ma second richest in water resources bhanda chha. Hydro-power potential dherai chha, abaadi irrigation ra drinking water ko lagi use huncha.",Nepal ma water resources kasto chha?,"Nepal ma water resources abundant chha, abaadi hydro-power potential dherai chha."
3037,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,kati bajyo?,What time is it?
3038,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali ko grammar kasari improve garne?,"Grammar improve garna daily writing practice garne, grammar books padne ani nepali expert sanga consult garne parcha."
3039,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Informal sector employment in Nepal is significant, providing livelihoods to many. However, workers lack social security and benefits.",Nepal ma informal sector employment ko barema jankari dinus.,"Nepal ma informal sector employment dherai important cha, dherai manche haru ko livelihood ko source baneko cha. Tara workers le social security ra benefits ko kami face garcha."
3040,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ko rajnadhani k ho?,Nepal ko rajnadhani Kathmandu ho.
3041,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Lalitpur ma pareko Patan Durbar Square prachin kala ra sanskriti ko ek mahan udaharan ho. Yaha Hiranya Varna Mahavihar ra Krishna Mandir jasto prachin mandir chhan. Yaha ka traditional handicrafts dherai lokpriya chhan.,Patan Durbar Square ma ke herna milchha?,"Patan Durbar Square ma Hiranya Varna Mahavihar, Krishna Mandir, ra traditional handicrafts herna milchha."
3042,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,aba aaune mahina ta dherai busy huney jasto cha. sabai plan haru ekai choti parcha.,Next month seems like it will be very busy. All the plans are happening at the same time.
3043,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,Jurassic Park movie ma scientist haru le dinosaur clone garchhan DNA bata. Aba ek island ma dinosaur ko park bancha. Tara dinosaur le control out bhayera sabai bigarcha.,"Jurassic Park ma dinosaur ko park bancha, tara uniharu control out huncha."
3044,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The smart home system automatically turned off the lights and adjusted the temperature as they went to sleep.,Smart home system le uniharu sutna jada light off ra temperature adjust gariyo.
3045,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Khaja banaune ek sajilo tarika bataunu.,Anda fry garera chaamal ko bhat sang khaja ko lagi sajilo ra swadilo upaaya ho.
3046,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ma prasiddha butterfly sanctuary Illam ho, jo eastern Nepal ma sthit cha. Illam ko prakritik sundarta, flora ra fauna ko liye prasiddha cha.",Nepal ma prasiddha butterfly sanctuary k ho?,"Illam, Nepal ma prasiddha butterfly sanctuary ho."
3047,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Yo ta afnai lagi banaune ho.,This is to make for ourselves.
3048,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,"The elderly woman sat by the window, knitting a colorful sweater while gazing at the children playing happily in the garden outside.","Buddhi mahila jhyal ko chheuma basera, rangichangi sweater bunaudai thiin ra baha n garden ma khusi sanga kheliraheka bachha haru lai herdai thiin."
3049,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Prithvi ma sabai bhanda deep ocean trench kun ho?,Mariana Trench.
3050,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali ma 'Sustainable Development' ko meaning ke ho?,'Sustainable Development' ko arth Nepali ma 'Digo Bikas' ho.
3051,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Mero passport system use garne tarika.,Nepal ma passport renewal kasari garna sakincha?,"Mero Passport website ma janus, online form fill garnus, ani nearest passport office visit garnus."
3052,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Ma ghar jadai chu.,Yo sentence ko arth English ma batunus.,I am going home.
3053,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Hami ko kitchen appliances, jasta ki blender, microwave, ra toaster haru ma 1-2 barsha ko warranty provide huncha. Warranty hardware defects ko lagi ho, tarika misuse ya physical damage cover gardaina.",Kitchen appliances ko warranty kati barsha ko cha?,Kitchen appliances ma 1-2 barsha ko warranty cha.
3054,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The teacher encouraged the students to participate in the school talent show.,Teacher le students haru lai school ko talent show ma participate garna encourage gare.
3055,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,The classroom was filled with excitement as the teacher announced a surprise quiz. Some students were confident while others quickly flipped through their notes to revise.,Classroom utsukta le bharieko thiyo jaba teacher le surprise quiz ko ghosana garna bho. Kehi bidyarthi biswasit thiye ra aru afna note herera revise garna thale.
3056,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko Ilam, eastern region ma cha ra yaha ko tea gardens ra lush green hills ko anand le visitors ko man jeetcha. Ilam ko location 1,500 meters ko altitude ma cha, ra yaha bata Kanchenjunga mountain ko views pani dekhincha.",Ilam kahaan cha?,"Ilam eastern Nepal ma cha, ra yo 1,500 meters ko altitude ma located cha."
3057,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,kina aba maile afno fitness routine ko consistency maintain garna man lagcha? healthy habits build garera ekdam confident feel huna thalcha.,Why do I feel like maintaining consistency in my fitness routine? Building healthy habits makes me feel so confident.
3058,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ko first president ko naam ke ho?,Dr. Ram Baran Yadav
3059,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma sabai bhanda ramailo restaurant kun ho?,Thamel ko restaurant.
3060,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,NASA ko Artemis mission le moon base establish garna plan garcha. Aba yo mission le human exploration ko lagi next step hunechha ra space ma living ko possibilities explore garcha.,Artemis mission le moon base establish garera space exploration ma progress garcha.
3061,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Manche ko sabai bhanda lambai kati record cha?,8 feet 11 inches.
3062,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Machine learning bhaneko ke ho bhanera lekhnu.,Machine learning bhaneko computer lai data sikayera manche jasto sochnu ra decision lina sakne banaune process ho. Yo le Netflix le timilai man parne show recommend garna madat garcha.
3063,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,Nepali khana dal bhat tarkari le prasiddha chha. Yo swadist ra poshan yukta ho.,Nepali dal bhat tarkari swadist ra poshan yukta ho.
3064,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali ma 'Time Value of Money' ko meaning ke ho?,'Time Value of Money' ko arth Nepali ma 'Samaya Anusar Paisako Mahatwa' ho.
3065,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Ek chhoto Nepali story ko suruwat garnuhos.,"Ek din ek sano chhoro le afno buwa sanga sodhcha, 'Buwa, yo desh ma sabai khushi kina hudainan?'"
3066,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,World ma sabai bhanda purano city kun ho?,Jericho.
3067,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,malai chai aba purano jagga bikri garera naya thau ma gharmuni ko plan suru garna parcha.,I now need to sell the old property and start planning to build a new house.
3068,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Bhaktapur Nepal ko ek prasiddha purano sahar ho. Yo Kathmandu ko purba bhagma sthit chha ra itihasik roopma ek samriddha sahar ho. Bhaktapur ko raja haru le issa purva ko samay ma bhari sanskritik aur samajik prakriya haru ko samarthan garna thaleko thiyo.,Bhaktapur ko itihas kasto chha?,Bhaktapur Nepal ko ek prasiddha purano sahar ho.
3069,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali samajik sanjal haru ko udaharan dinu.,"Nepali samajik sanjal haruma Facebook, Instagram, TikTok, ra Twitter prasiddha chhan."
3070,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Mobile accessories return policy unused ra original packaging intact bhaye lagu huncha. Return request 7 din bhitra initiate garna parcha. Refund ya exchange ko lagi invoice required huncha. Physical damage ko case ma return policy lagu hudaina.,Mobile accessories return policy kasto cha?,Mobile accessories return policy 7 din bhitra applicable cha.
3071,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Winter clothes exchange policy 7 din bhitra applicable cha. Product unused ra original packaging intact hunu parcha. Exchange ko lagi size ya color available bhaye matra replacement huncha.,Winter clothes exchange policy kasto cha?,Winter clothes exchange policy 7 din bhitra applicable cha.
3072,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Pashupatinath temple Kathmandu ma chha, Bagmati river ko kinaarma. Yo ek dami famous religious site ho Hindu haru ko lagi.",Pashupatinath temple kaha chha?,Pashupatinath temple Kathmandu ma chha.
3073,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali alphabet ma ek vowel ra ek consonant dinus.,"Vowel: Aa, Consonant: Ka."
3074,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","Exchange Policy: Exchange is available for select categories like clothing, footwear, and electronics within 7 days of delivery. The product must be unused, in its original packaging, and include all tags. For clothing, the size must be incorrect to qualify for an exchange. Electronics exchanges are valid only for defective items. Contact customer support to initiate an exchange.",Yas product ma exchange option available cha ki nai?,"Exchange option clothing, footwear, ra electronics jastai select categories ma available cha. Product unused, original packaging ma ra tags samet hunu parcha."
3075,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Hami le online payment ka lagi multiple options provide gareko cha. Tapaiko card payment (debit/credit), digital wallets jasta eSewa, Khalti, IME Pay, ra bank transfer sabai options available cha. Online payment garna tara secure payment gateway ko madhyam bata huncha.",Online payment ma k-k options cha?,"Online payment ma card, digital wallets, ra bank transfer options cha."
3076,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali ko prasiddha tirtha sthal ko naam dinus.,"Pashupatinath, Lumbini, Muktinath."
3077,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",50 out of 200,Yo sankhya ko percentage nikalnus.,50 out of 200 ko percentage 25% ho.
3078,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Payment method update garna checkout page ma 'Edit Payment' option use garnuhos. Refund ka lagi 5-7 din lagcha. Discounts festive sales ma apply garna milcha.,Payment method update kasari garne?,Payment method update garna checkout page ma 'Edit Payment' option use garnuhos.
3079,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko rasmik bhasha Nepali ho. Tara, Nepal ma 120 jati bhasha haru bolaincha, jasma Maithili, Bhojpuri, Tharu, ra Tamang samet chhan.",Nepal ko bhasha ko sthiti kasto cha?,Nepal ko rasmik bhasha Nepali ho.
3080,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","chura, mala, topi, dahi","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Dahi lagaaune chij hoina, aru tinwota lagaaune chij hun."
3081,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Product exchange request 7 din bhitra submit garnu parcha. Discounts checkout page ma apply garna milcha. Refund process cancel bhaepachi start hunchha.,Product exchange ko time limit kati ho?,Product exchange request 7 din bhitra submit garnu parcha.
3082,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The children made handmade greeting cards for their teachers on Teacherâ€™s Day.,Bachha haru le afno teacher ko lagi handmade greeting card banaye Teacherâ€™s Day ma.
3083,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Product: Xiaomi Smart Band 8, Price: Rs. 4,999, Features: Heart Rate Monitor, SpO2, 16 Days Battery.",Xiaomi Smart Band 8 ko battery life kati ho?,Xiaomi Smart Band 8 ko battery life 16 din ho.
3084,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko prasiddha paryatan marg Annapurna Circuit ho, jo trekking garne haru ko ek pramukh destination ho. Annapurna Circuit trekking le paryatak haru lai Himalaya range ko drishya, local culture ra lifestyle, ra prakritik beauty ko adbhut anubhav garincha. Trekking ko dauran, Annapurna Base Camp, Machapuchare Base Camp, ra Ghorepani jaise locations haru pani dekhincha.",Nepal ko prasiddha paryatan marg k ho?,"Annapurna Circuit, Nepal ko prasiddha paryatan marg ho, jaha trekking, Himalaya drishya, aur prakritik safar ko anubhav garincha."
3085,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Sabai bhanda pahilo rocket kasle banayo?,Robert Goddard le.
3086,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Cryptocurrency mining ma high-performance computers le complex mathematical problems solve garcha. Abaadi blocks verify hunchan, transaction ledger ma add hunchan, ra miner lai reward ko rup ma cryptocurrency milcha.",Cryptocurrency mining process kasari kaam garcha?,Cryptocurrency mining mathematical problems solve garera blocks verify garcha ra miner lai reward milcha.
3087,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Tapai kasari video call garna saknuhuncha?,"Video calling app ma janus, contact select garnus ani video call button thichnus."
3088,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Mathematics ko bare ma lekh.,"Mathematics bhaneko numbers, calculation, ra patterns ko study ho. Aba jindagi ma counting dekhi budget banuna samma sabai ma math chahinchha."
3089,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","Save for Later: While browsing products, customers can click on the 'Save for Later' button available on the product page or in the shopping cart. Saved items are stored in a separate list under 'My Wishlist.' These items can be added back to the cart anytime unless they go out of stock.",Kasari 'Save for Later' feature use garna sakincha?,'Save for Later' feature use garna product page ya cart ma 'Save for Later' button click garnus. Item 'My Wishlist' ma save huncha.
3090,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",18 ra 24,Yo sankhya ko GCD nikalnus.,18 ra 24 ko GCD 6 ho.
