category,instruction,context,question,response
translate,Translate the text below from English to Nepali:, ,There was a lot of work at my office today. I feel like sleeping after coming home.,Aaja mero office ma ekdamai dherai kaam thiyo. Ghar aayera sutna man lagcha.
translate,Translate the text below from English to Nepali:, ,Music helps in cherishing memories in life.,Music le manushya ko life ma memories lai cherish garna help garcha.
RAG,Answer the following question by looking at the context if context is given.,"CityElectronics, Itahari-6, Hospital Line ma purano saman exchange garera naya saman lina milcha. Yaha laptops, sound systems, ra printers paainchha.",CityElectronics ma k k saman cha?,"CityElectronics ma laptops, sound systems, ra printers chha."
open_qa,You are a helpful assistant. Answer the given user question.,,Nepal ma sabai bhanda purano university ko naam ke ho?,Tribhuvan University
RAG,Answer the following question by looking at the context if context is given.,"Hamro platform le customer lai aru platforms ko bhanda alik different service dincha. Hamro platform ma bulk order ko option pani available chha, jasle business owners haru lai dherai samaan ekai choti kinna sajilo banaunchha. Bulk order ma special discount ra priority delivery pani provide garincha.",Bulk order ma k k facilities dincha?,Bulk order ma special discount ra priority delivery provide garincha.
translate,Translate the text below from English to Nepali:, ,Where did you go?,Tapai kata gayau?
summary,Summarize the following text:,,Nepali janajati haru ko bibidh parampara ra reetithiti le desh ko rangin chhabi prastut garcha.,Nepali janajati ko parampara desh lai rangin banauchha.
open_qa,You are a helpful assistant. Answer the given user question.,"bhat, daal, pani, kitaab","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Kitaab khane kura hoina, aru tinwota khane kura hun."
RAG,Answer the following question by looking at the context if context is given.,"LG microwave oven ko capacity 28 litres ho, jasle large family ko lagi suitable cha.",Microwave ko capacity kati ho?,LG microwave oven ko capacity 28 litres ho.
translate,Translate the text below from Nepali to English:, ,"Child ko education ma parents ko role support, guidance, ra encouragement provide garna ho.","The role of parents in a child’s education is to provide support, guidance, and encouragement."
translate,"Translate the given text from English language to Roman Nepali Language language.
",,The workshop was designed to help participants develop better time management skills.,Workshop ma manche haru lai time management kasari thik garna sikhaucha bhanera design gareko thiyo.
open_qa,You are a helpful assistant. Answer the given user question.,,90 - 45 ko answer kati ho?,90 - 45 ko answer 45 ho.
open_qa,You are a helpful assistant. Answer the given user question.,,Nepal ma sabai bhanda famous sports kun ho?,Football ra Cricket
summary,Summarize the following text:,,"Chitwan ma ek din ek chorale jungle ma bhagna khojyo. Tara, tyaha ko prabandhan ra janawar ko sahayog le usle tyaha ko prakriti ma maya garna suru gareko katha suru bhayo.",Chorale jungle ko prakriti ma maya garna sikyo.
RAG,Answer the following question by looking at the context if context is given.,"Hamro TechWorld Electronics store le Kathmandu, Pokhara ra Dharan ma order deliver garcha. Dharan bhitra saman same-day delivery ko suvidha upalabdha chha. Kathmandu ra Pokhara ko lagi 3 din samma lagna sakcha.",Dharan ma saman kati din ma deliver huncha?,Same-day delivery huncha.
RAG,Answer the following question by looking at the context if context is given.,"NepalGadgetStore, Pokhara-7, Lakeside ma electronics showroom chha. Pokhara valley ko sabai wards ma delivery charge lagdaina. Aba saman ko order Rs. 3000 mathi gareko bhaye Lekhnath, Baglung, ra Kaski samma free delivery available chha. Tara, Dharan, Biratnagar, ra Kathmandu ma delivery garna sakidaina.",Dharan ra Biratnagar ma delivery garna milchha?,Dharan ra Biratnagar ma delivery garna sakidaina.
open_qa,You are a helpful assistant. Answer the given user question., ,Hi sathi,Namaste! Aba tapai ko shopping experience ma madat garna ma yaha chu.
translate,Translate the text below from Nepali to English:, ,"Swasthya jivan shaili ko fayeda ma urja badhna, mood ramro huna, ra rog ko risk kam huna samet chan.","The benefits of a healthy lifestyle include increased energy, better mood, and reduced risk of diseases."
translate,"Translate the given text from Roman Nepali language to English language.
",,yo din ta ekdam special thiyo kina ki maile mero purano friend sanga almost 5 barsa pachi meet gare. hamile ta ekdam ramailo memories share garera pura lunch time bitae ani aba chai naya plan haru banayera regularly contact ma rahne sochya. aba aba yo meeting le ta malai purano connections ko value realize garna madat garecha.,This day was very special because I met my old friend after almost 5 years. We spent the whole lunch time sharing fun memories and made plans to stay in regular contact moving forward. This meeting made me realize the value of old connections.
RAG,Answer the following question by looking at the context if context is given.,"Category: Laptop, Brand: HP, Model: Pavilion x360, Description: 14-inch Full HD display, Intel i5, 8GB RAM, 512GB SSD, Price: Rs. 70,000",HP Pavilion x360 ko price kati ho?,"HP Pavilion x360 ko price Rs. 70,000 ho. Isma 14-inch Full HD display ra Intel i5 processor cha."
RAG,Answer the following question by looking at the context if context is given.,"Gorkha Mobile House, Gorkha Durbar ma cha. Hamro store smartphones, laptops, ra accessories ko ramro collection rakhne garauchha. Delivery ra warranty service pani cha.",Aile trending ma ke ke products cha hajur?,"Gorkha Mobile House ma Samsung Galaxy Z Fold4, Lenovo IdeaPad 5, ra Sony WH-CH710N trending products ma cha."
RAG,Answer the following question by looking at the context if context is given.,"eMartNepal, Biratnagar-11, Main Road ma electronics showroom chha. Biratnagar ma delivery charge lagdaina. Aba saman ko order Rs. 3000 mathi gareko bhaye Dharan ra Itahari samma free delivery available chha. Kathmandu samma courier dwara saman pathauna milchha.",Itahari samma free delivery chha?,"Hajur, Rs. 3000 mathi order gareko bhaye Itahari samma free delivery available chha."
translate,Translate the text below from Nepali to English:, ,AI le disaster response improve garna use hudai chha. Machine learning algorithms le natural disasters ko data analyze garna sakchhan unko impact predict garna ra relief efforts lai effectively coordinate garna.,AI is being used to improve disaster response. Machine learning algorithms can analyze data from natural disasters to predict their impact and coordinate relief efforts more effectively.
translate,"Translate the given text from English language to Roman Nepali language.
",,"During the summer vacation, the group of friends decided to explore the countryside. They rented bicycles and spent the whole day riding through winding paths, crossing small wooden bridges, and stopping occasionally to enjoy the peaceful scenery of green fields and distant hills.","Garmi ko bida ma, saathi haru ko samuha le gau ghumne nirdai garyo. Uniharu le cycle bhada ma liye ra purai din ghumaune bato ma cycle chalayera, sano kather ko pool parera ra kahi kahi parkhera hariyo khet ra taadako pahad ko shaant drishya herera bitaye."
open_qa,You are a helpful assistant. Answer the given user question.,,Nepali thakali khana kasari pakaaune?,"Thakali khana ko lagi bhat, daal, gundruk ko achar, masu ra saag miss garera pakaaune garnu parchha."
open_qa,You are a helpful assistant. Answer the given user question.,,Nepal ma traffic rules follow garnu kasari important ho?,Accident reduce garna ra safety ko lagi.
translate,"Translate the given text from Roman Nepali language to English language.
",,Hamro preparation ma dherai detailing include cha.,Our preparation includes a lot of detailing.
RAG,Answer the following question by looking at the context if context is given.,"Dharan Digital Store, located at Putali Line, offers a diverse range of electronic products. From mobile phones to laptops, our store caters to all your tech needs. We also stock a variety of headsets, chargers, and other accessories. With competitive prices and excellent customer service, we aim to provide a seamless shopping experience.",Tapai ko store ma kun kun model ka headsets available chha?,"Hamro store ma Sony WH-H910N, Bose SoundSport Wireless, ra JBL Tune 510BT available chhan."
summary,Summarize the following text:,,Ek guru le afna sabai chela harulai himal ma ekta ra sahas ko mahattwako barema bhasan diye. Tyasle chelaharuma naya prerna jhagayo.,Guru le chelaharulai ekta ra sahas ko mahattwa sikhayo.
RAG,Answer the following question by looking at the context if context is given.,"Himalayan Electronics, Itahari-4, Line Bazaar ma smartphone accessories ko bises collection chha. Covers, screen protectors, ra chargers Itahari ma free delivery available chha. Itahari bahira delivery service abailable chaina.",Tapaiharu le Itahari bahira delivery dinu huncha?,Hamro delivery Itahari vitra matra available chha. Itahari bahira delivery service chhaina.
translate,Translate the text below from Nepali to English:, ,"Nepal chadparva ko desh ho. Dashain, Tihar, ra Holi lai dherai enthusiasm sanga manauchhan. Yi chadparva le family lai ekatha parchha ra community ko bond strong banauchha.","Nepal is a land of festivals. Dashain, Tihar, and Holi are celebrated with great enthusiasm. These festivals bring families together and strengthen the bond between communities."
RAG,Answer the following question by looking at the context if context is given.,"Tech Guru Nepal, Biratnagar-9, Koshi Highway ma customer friendly service offer garincha. Pre-order ko lagi 50% advance payment garnu parcha.",Pre-order ko lagi kati advance payment chahinchha?,50% advance payment chahinchha.
RAG,Answer the following question by looking at the context if context is given.,"BiratNagarElectronics, Biratnagar-5, Main Road ma hami mobile phones, sound systems, ra smartwatches ko collection rakhchhau. Hamro pasal branded items matra bechchha ra warranty saath dinchhau.",BiratNagarElectronics ma k k saman available chha?,"Hamro pasal ma mobile phones, sound systems, ra smartwatches available chha."
RAG,Answer the following question by looking at the context if context is given.,"Smart Tech, Itahari le abaileko Tihar ko offer ma laptops, printers, ra headphones ma 12% discount cha. Hamro store le delivery free cha Itahari ma. Tapai le laptops kharid garna chahanu hunchha bhane, abaileko offer ko faida linu saknu hunchha.",Headphones ma discount cha?,Headphones ma 12% discount cha Tihar offer ma.
translate,Translate the text below from Nepali to English:, ,Organizational goals achieve garna ma teamwork ko importance lai underestimate garnu hunna.,The importance of teamwork in achieving organizational goals cannot be underestimated.
RAG,Answer the following question by looking at the context if context is given.,"Kathmandu Smart Store, Durbar Marg ma smartphones, laptops, ra accessories supat mulya ma available chha. Abaileko Dashain ma hami sabai items ma 10% discount dinchau. Hamro free delivery service Kathmandu, Lalitpur, ra Bhaktapur ma available chha.",Hajurko smartphones ma discount kati cha?,Dashain ma smartphones ma 10% discount cha.
RAG,Answer the following question by looking at the context if context is given.,"Product List: Redmi Note 9 Pro, Price: Rs. 20000. Samsung Galaxy, Price: Rs. 60000. iPhone, Price: Rs. 100000. Calculator, Price: Rs. 500. Sony TV, Price: Rs. 40000.",Redmi Note 9 Pro ko price kati cha?,Redmi Note 9 Pro ko price Rs. 20000 ho.
RAG,Answer the following question by looking at the context if context is given.,"Expedited delivery ko charge Rs. 300 hunchha. Expedited delivery ma product 1-2 business days ma deliver hunchha. Free delivery order Rs. 5,000 bhanda badi bhaye matra hunchha.",Expedited delivery ko charge kati hunchha?,Expedited delivery ko charge Rs. 300 hunchha.
RAG,Answer the following question by looking at the context if context is given.,"Pokhara Tech Hub, Lakeside ma cha. Tapai le Samsung Galaxy A52, Oppo Reno 6, ra Xiaomi Mi 10T mobiles ra Asus Zenbook 13, MacBook Pro laptops pauna saknuhuncha. Hami headset haru pani rakhcha, jasle Tapai ko comfort ko lagi thulo support garnecha.",Tapai ko store ma kun kun mobile chha?,"Hami ko store ma Samsung Galaxy A52, Oppo Reno 6, ra Xiaomi Mi 10T mobiles pauna saknuhuncha."
translate,Translate the text below from English to Nepali:, ,Music adds color to life and helps in forgetting sorrows.,Sangeet le manushya ko jindagi ma rang bhardacha ra dukha haru lai bhulna sahayog dincha.
RAG,Answer the following question by looking at the context if context is given.,"Product Name: Smartphone Nova, Stock: Available (Last Restocked: 2023-10-15), Price: NPR 35,000. Competitor Price: NPR 37,000 at Store X. Popularity: Top 5 best-selling smartphones in Nepal. Usage Tip: Use with a tempered glass screen protector for better durability. Warranty: 1 year. Delivery Time: 1-2 days in Kathmandu.",Smartphone Nova ko stock ma cha?,"Hajur, Smartphone Nova ahile stock ma cha. Tapailai yaslai aaja nai order garnu huncha?"
translate,"Translate the given text from Roman Nepali language to English language.
",,Hami le chai aba naya software use garna parcha.,We need to start using new software now.
translate,Translate the text below from Nepali to English:, ,Technology le manushya ko life ma convenience ra comfort dincha.,Technology brings convenience and comfort to life.
RAG,Answer the following question by looking at the context if context is given.,"Biratnagar Tech Center, Biratnagar-9 ma cha. Tapai le Realme Narzo 50A, Samsung Galaxy M32, ra Oppo Reno 5 ko mobiles pauna saknuhuncha. Stock available cha, price NPR 20,000 to NPR 30,000.",Oppo Reno 5 ko stock cha ra kati price cha?,"Oppo Reno 5 ko stock available cha. Price NPR 32,500 cha."
open_qa,You are a helpful assistant. Answer the given user question.,,Nepal ko sabai bhanda thulo nadi kun ho?,Karnali Nadi.
RAG,Answer the following question by looking at the context if context is given.,"Dharan ma expedited delivery charge Rs. 300 hunchha. Expedited delivery ma product 2-3 business days ma deliver hunchha. Free delivery order Rs. 5,000 bhanda badi bhaye matra hunchha.",Dharan ma expedited delivery charge kati hunchha?,Dharan ma expedited delivery charge Rs. 300 hunchha.
RAG,Answer the following question by looking at the context if context is given.,"Tech Store Nepal, Kathmandu le abaileko festive offer ma discount chaina. Tapai haru le mobiles, tablets, ra laptops ko latest collection ko faida linu saknu hunchha. Delivery Kathmandu ra surrounding areas ma free cha.",Festive offer ma discount cha?,"Festive offer ma discount chaina, tara latest collection cha."
translate,Translate the text below from English to Nepali:, ,"Football tactics have evolved over the years. From the traditional 4-4-2 formation to modern strategies like tiki-taka, coaches are constantly innovating to gain an edge.","Football tactics le years dekhi evolve gareko chha. Traditional 4-4-2 formation bata modern strategies like tiki-taka samma, coaches le afno edge pauna ko lagi constantly innovate gariraheka chhan."
RAG,Answer the following question by looking at the context if context is given.,"Gadget Shop, Itahari ma abaileko Tihar ko offer ma 5% discount sabai items ma available cha. Delivery Itahari ma free cha.",Hajurko store ma sabai items ma discount cha?,Sabai items ma 5% discount cha.
translate,"Translate the given text from Roman Nepali language to English language.
",,"aaja ghar ko cleaning process ekdam long lagyo. kitchen organize garna pura din lagyo, tara final look le ekdam satisfying feel diyo.","Today, the house cleaning process felt so long. Organizing the kitchen took the whole day, but the final look was so satisfying."
RAG,Answer the following question by looking at the context if context is given.,Gift wrapping service checkout page ma select garna milcha. Refund process order cancel confirm bhaepachi start hunchha. Discounts festive sales ma up to 70% cha.,Gift wrapping service available cha ki nai?,Gift wrapping service checkout page ma select garna milcha.
translate,Translate the text below from English to Nepali:, ,Education provides confidence and independence in life.,Education le manushya ko life ma confidence ra independence dincha.
translate,Translate the text below from Nepali to English:, ,Mansik swasthya samasyaharuko samadhan ma chhadaiko intervenshan ko mahattva lai bado garera bhana sakinna.,The importance of early intervention in addressing mental health issues cannot be overstated.
RAG,Answer the following question by looking at the context if context is given.,"DigitalGizmos, Kathmandu-4, Bhaktapur Road ma electronics showroom cha. Kathmandu valley ma sabai wards ma free delivery garna sakinchha. Pokhara, Biratnagar, ra Chitwan ma delivery charge lagcha.",Kathmandu ko sabai wards ma delivery free cha?,Kathmandu valley ma sabai wards ma free delivery garna sakinchha.
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko prasiddha mantrana Nepal ko pradhanmantri ho, jo Nepal ko rajnaitik, aarthik, ra samajik karyakram haru ko netritwa garne cha.",Nepal ko prasiddha mantrana kaun ho?,Nepal ko prasiddha mantrana Nepal ko pradhanmantri ho.
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko sabai bhanda prasiddha wildlife reserve Bardia National Park ho, jo Nepal ko Far Western Pradesh ma sthit cha. Bardia ko wildlife reserve, jaha paryatak haru ko safar garne cha, rhino, tiger, ra anek wildlife species haru ko pradarshan ho. Bardia National Park ko prakritik aur wildlife safaris le Nepal ko wildlife tourism ko ek adbhut anubhav ho.",Nepal ko sabai bhanda prasiddha wildlife reserve k ho?,"Bardia National Park ko wildlife safaris, rhino ra tiger ko drishya ra prakritik sundarta Nepal ko sabai bhanda prasiddha wildlife reserve ho. Yaha ko prakritik virasat, wildlife aur adventure tourism ko ek adbhut roop ho."
open_qa,You are a helpful assistant. Answer the given user question.,,Space exploration kina important ho? Lekhnuhos.,"Space exploration le alien jindagi ko khoj garna, universe ko rahasya bujhna, ra technology ma naya naya innovation lana madat garcha."
RAG,Answer the following question by looking at the context if context is given.,"Hamro store ma printers available cha: HP LaserJet (Price: 25000), Canon Pixma (Price: 15000), ra Epson EcoTank (Price: 20000). Sabai models office ra home use ko lagi suitable cha.",Store ma printers available cha?,"Ho, printers available cha jastai HP LaserJet ra Canon Pixma."
RAG,Answer the following question by looking at the context if context is given.,Hamro ecommerce platform le Dharan ma free home delivery ko suvidha dincha. Free delivery ko lagi minimum order amount Rs. 2000 bhanda mathi hunu parcha.,Free home delivery ko lagi minimum order amount kati chha?,Rs. 2000.
RAG,Answer the following question by looking at the context if context is given.,"Anker PowerCore 20000 ek high-capacity power bank ho. Yesko price 3000 ho. Yesma 20000 mAh capacity, fast charging support, ra dual USB ports available cha.",Anker PowerCore 20000 power bank ko price kati ho?,"Anker PowerCore 20000 ko price 3000 ho. Yesma 20000 mAh capacity, fast charging support, ra dual USB ports cha."
open_qa,You are a helpful assistant. Answer the given user question.,Windows laptop ma Wi-Fi setup garne tarika.,Tapai kasari laptop ma Wi-Fi connect garna saknuhuncha?,"Taskbar ma Wi-Fi icon click garnus, available networks ma connect option select garnus, ani password enter garnus."
RAG,Answer the following question by looking at the context if context is given.,"Product Name: Monitor BCD, Weight: 1.5 kg. Competitor Comparison: Similar products weigh around 1.7 kg. Usage Tip: Use a carrying case for portability. Warranty: 1 year. Delivery Time: 1-2 days in Kathmandu.",Monitor BCD ko weight kati ho?,Monitor BCD ko weight 1.5 kg ho.
translate,Translate the text below from Nepali to English:, ,Education le manushya ko life ma opportunities ra growth dincha.,Education provides opportunities and growth in life.
translate,Translate the text below from English to Nepali:, ,"Football is a sport that requires both individual brilliance and team effort. While star players shine, it is the collective effort that leads to success.","Football ek yasto sport ho jasle individual brilliance ra team effort dubai ko mamla ho. Star players le shine garchhan, tara collective effort le success ko bato banauunchha."
RAG,Answer the following question by looking at the context if context is given.,"Tech Shop Nepal, Kathmandu ma gaming accessories ra Bluetooth headphones ma 8% discount cha. Offer limited time ko cha.",Hajurko store ma gaming accessories ma discount cha?,Gaming accessories ma 8% discount cha.
RAG,Answer the following question by looking at the context if context is given.,"HP Pavilion (Price: 85000) ma 1 TB SSD storage cha. Yo laptop gaming ra office use ko lagi suitable cha. Features: Intel i7 processor, 16 GB RAM, ra Backlit Keyboard.",HP Pavilion ma storage options kasto cha?,HP Pavilion ma 1 TB SSD storage cha.
open_qa,You are a helpful assistant. Answer the given user question., ,K cha naya offer?,Naya offers checkout garnus! Aba kun product ko barema jankari chahiyo?
translate,"Translate the given text from Roman Nepali language to English language.
",,Maile ajha kehi files review garnu parcha.,I need to review a few more files.
open_qa,You are a helpful assistant. Answer the given user question.,"Product: Apple MacBook Air M1
Price: Rs. 1,20,000
Availability: Out of Stock",Yas product ko stock status kasto cha?,Apple MacBook Air M1 aba stock ma chaina.
RAG,Answer the following question by looking at the context if context is given.,Smart Electronics le festive offer ma 40% discount cha home appliances ra gadgets ma. Tapai le Kathmandu ma free delivery paunuhunchha.,Festive offer ma kati discount cha home appliances ra gadgets ma?,Festive offer ma 40% discount cha home appliances ra gadgets ma.
open_qa,You are a helpful assistant. Answer the given user question.,,Nepali cinema ko prakhyat nirdeshak ko naam lekhnu hos.,"Nepali cinema ko prakhyat nirdeshak haru: Tulsi Ghimire, Bhusan Dahal, Narayan Puri, ani Nischal Basnet hun."
open_qa,You are a helpful assistant. Answer the given user question., ,Kunai new arrivals cha?,"Ho, thuprai naya products available cha. Aba tapai lai kunai specific product chahiyo bhane sodhnuhos."
translate,Translate the text below from Nepali to English:, ,Bachchaharuko shiksha ra vyaktigat bikash ma sahayog garna aamabubako bhumika avashyak cha.,The role of parents in supporting their children’s education and personal development is crucial.
translate,"Translate the given text from English language to Roman Nepali Language language.
",,The market was alive with the sounds of vendors calling out and people bargaining.,Bazar ma thela wala haru ko awaaj ra bargain garne manche haru le ramailo lagcha.
open_qa,You are a helpful assistant. Answer the given user question.,,Prerna dine ek ukti lekha.,"Jindagi ma aghi badhna ho bhane, afno galti haru bujhnu ra sudharnu sabai bhanda thulo jeet ho."
translate,Translate the text below from English to Nepali:, ,"The offside rule is one of the most debated aspects of football. It requires precise timing and understanding, making it a challenging concept for both players and fans.","Offside rule football ko sabai bhanda debated aspects maa se ho. Yo precise timing ra understanding ko mamla ho, jasle players ra fans dubai ko lagi challenging concept banauunchha."
RAG,Answer the following question by looking at the context if context is given.,Digital World Store le order confirmation ko 1 din bhitra Kathmandu area ma delivery garcha. Sabai items ma delivery charge 50 rupaiya ho.,Tapaiko delivery charge Kathmandu ma kati cha?,Kathmandu ma delivery charge 50 rupaiya ho.
translate,Translate the text below from English to Nepali:, ,Nature brings peace and harmony to life.,Nature le manushya ko life ma peace ra harmony dincha.
open_qa,You are a helpful assistant. Answer the given user question.,Third-party app lock use garne tarika.,Tapai kasari smartphone ma app lock feature enable garna saknuhuncha?,"Play Store bata app lock download garnus, preferred apps lock settings configure garnus."
RAG,Answer the following question by looking at the context if context is given.,Dharan ma hamro store le 7 din ko return policy provide garcha. Saman ma damage ya manufacturing defect bhaye return garna sakincha.,Return policy kati din ko ho?,7 din ko ho.
RAG,Answer the following question by looking at the context if context is given.,"Product List: Redmi Note 9 Pro, Price: Rs. 20000. Samsung Galaxy, Price: Rs. 60000. iPhone, Price: Rs. 100000. Calculator, Price: Rs. 500. Sony TV, Price: Rs. 40000.",LG TV available cha ki xaina?,Hami sanga LG TV available xaina.
translate,Translate the text below from English to Nepali:, ,"AI is being used to improve public transportation. Predictive analytics powered by AI can optimize routes, reduce delays, and improve the overall efficiency of transit systems.","AI le public transportation improve garna use hudai chha. AI-powered predictive analytics le routes optimize garna, delays reduce garna, ra transit systems ko overall efficiency improve garna sakchhan."
RAG,Answer the following question by looking at the context if context is given.,"Category: Refrigerator, Brand: Samsung, Model: Convertible Double Door, Description: 345L frost-free fridge with convertible freezer, Price: Rs. 48,000",Samsung Convertible Double Door fridge ko price kati cha?,"Samsung Convertible Double Door fridge ko price Rs. 48,000 cha. Yo 345L frost-free fridge ho."
open_qa,You are a helpful assistant. Answer the given user question.,,Nepal ma pani ko samasya kasari thik garna sakinchha?,Pani ko samasya thik garna efficient water supply system establish garne. Rainwater harvesting ko practice apnaune ra water storage improve garne. Wastewater treatment ani reuse systems install garera pani ko shortage minimize garne. Irrigation ko lagi modern tools ko upayog badhaune. Awareness programs le pani ko samasya ko barema public education badhaune ani overuse control garne.
RAG,Answer the following question by looking at the context if context is given.,"Butwal ma delivery charge Rs. 180 hunchha. Delivery normally 3-4 business days ma hunchha. Order Rs. 5,000 bhanda badi bhaye delivery charge free hunchha. Expedited delivery ko charge Rs. 300 hunchha.",Butwal ma delivery charge kati hunchha?,Butwal ma delivery charge Rs. 180 hunchha.
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko ek prasiddha bhasha Nepali ho, jo desh ko rastriya bhasha ho. Nepali bhasha ko itihas lamba ra samriddha cha, ra yo kai dharmik aur sanskritik pariprekshya haru ma prachar gareko cha. Nepali bhasha le Nepal ko janata ko samajik aur rajnaitik ekata ko sambodhan garincha.",Nepal ko ek prasiddha bhasha k ho?,"Nepali bhasha, Nepal ko ek prasiddha bhasha ho, jo desh ko rastriya bhasha ho aur samajik ra rajnaitik ekata ko sambodhan garincha."
RAG,Answer the following question by looking at the context if context is given.,"Hamro store ma mobile, laptop, TV xa.",Store ma laptop pani xa?,"Ho, hamro store ma laptop pani available cha."
RAG,Answer the following question by looking at the context if context is given.,"Digital Hub, Kathmandu le abaileko sale ma discount chaina, tara tapai le quality laptops ra smart gadgets ko collection dekhna saknu hunchha. Delivery Kathmandu ma free cha.",Sale ma discount cha?,"Sale ma discount chaina, tara quality laptops ra gadgets ko collection cha."
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko aarthik sudhar ko lagi, sarkar le krishi, paryatan, udyog, ra sehmi kshetrama naya yojana haru rakhcha. Paryatan ko vikas garne, krishi ko pragati garne, ra infrastructure ko sudhar garne kaam ho rahecha.",Nepal ko aarthik sudhar ko lagi ke garincha?,"Nepal ko aarthik sudhar ko lagi, sarkar le krishi, paryatan, udyog, ra sehmi kshetrama naya yojana haru rakhcha."
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko tourism industry ko safalta ko rahasya, Nepal ko adbhut prakritik drishya, rich culture, ra dharmik virasat ma chha. Nepal, jo Everest jaise duniya ko sabai bhanda uncha parbat ko home cha, paryatak haru ko akarshan ko ek kendriya roop ho. Nepal ko dharmik sthal haru, jaise Pashupatinath ra Lumbini, jaha dharmik yatra ko safar garincha, tourism ko safalta ko ek anmol roop ho.",Nepal ko tourism industry ko safalta ko rahasya ke ho?,"Nepal ko tourism industry ko safalta ko rahasya, prakritik drishya, rich culture, ra dharmik virasat ma cha. Everest, Pashupatinath, ra Lumbini jaise sthalon le tourism ko safalta ko ek kendra banaye ko cha."
translate,Translate the text below from Nepali to English:, ,"Nepal natural resources maa dherai rich chha, tara proper utilization chunauti nai chha. Hydropower development ko key areas maa ho. Government le electricity generate garna maa focus gariraheko chha desh ko demand pura garna.","Nepal is rich in natural resources, but proper utilization is still a challenge. Hydropower is one of the key areas of development. The government is focusing on generating electricity to meet the country's demands."
RAG,Answer the following question by looking at the context if context is given.,"Category: Laptop, Brand: Dell, Model: XPS 13 Plus, Description: 13.4-inch OLED display, Intel i7, 16GB RAM, 1TB SSD, Price: Rs. 1,60,000",Dell ko XPS 13 Plus ko dam bataunus ta?,"Dell XPS 13 Plus ko dam Rs. 1,60,000 ho. Yo laptop 1TB SSD ra 16GB RAM ko sath aauchha."
open_qa,You are a helpful assistant. Answer the given user question.,,Pets ko care ma ke kura dhyan dinu parcha?,Pets ko care ma regular feeding schedule follow garera balanced diet provide garne. Daily exercise ani grooming le pets healthy rakcha. Vaccination ani vet checkups timely garna zaruri huncha. Clean ani safe environment ensure garera uniharu ko health protect garne. Love ani attention provide garna uniharu mentally happy rakhcha.
open_qa,You are a helpful assistant. Answer the given user question.,,Nepal ma sardi ko bela ko garam drink k ho?,"Sardi ko bela garam drink ko lagi, tea, hot lemon water, ya ginger honey drink ramro hunchha."
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko sabai bhanda purano raja Prithvi Narayan Shah ho, jun Nepal ko pratham Shah dynasty ko sansthapak thiyo. Prithvi Narayan Shah le Nepal ko sangathit rajniti ra rajya ko sthapana garne kaam gareko thiyo, jaba Nepal ko purano rajyako chhoto bhag ko sangathan garne ma safal bhayeko thiyo. Unko yogdan Nepal ko rajnaitik vyavastha ra ekata ko ek mahatvapurn adhar ho. Prithvi Narayan Shah ko rajneetik dhrista ko anusar, unko raaj gathan le Nepal ko itihas ra sanskritik virasat ko ek naya adhyaya rachna garincha.",Nepal ko sabai bhanda purano raja ko naam ke ho?,"Prithvi Narayan Shah ko rajnaitik yogdan, Nepal ko ekikaran ra rajneetik safalta ko ek pramukh kendra ho. Unko sidhhanta le Nepal ko rajnaitik gathana ra sanskritik virasat ko ek mahatvapurn chapter ko sthapana garincha."
translate,Translate the text below from Nepali to English:, ,Bacchaharu park ma kheliraheka thiye jabaki uniharu ko aamabuba bench ma basiraheka thiye.,The children were playing in the park while their parents were sitting on the bench.
RAG,Answer the following question by looking at the context if context is given.,"GadgetCenter, Bharatpur-4, Lions Chowk ma electronics saman ko outlet ho. Bharatpur ma sabai ward haru bhitra delivery free chha. Aba saman order gareko Rs. 3000 banda mathi bhaye Narayangadh, Mugling, ra Ratnanagar samma free delivery chha. Heavy appliances jastai refrigerator ra washing machine ko lagi fixed Rs. 700 ko charge applicable huncha. Delivery service ko timing weekdays ma matra available chha, ani saman ko damage claim order delivery bhayeko 48 ghanta bhitra matra garna milcha.",Bharatpur bahira ko delivery charge kati ho?,"Bharatpur bhitra delivery free chha. Rs. 3000 banda mathi ko order ma Narayangadh, Mugling, ra Ratnanagar samma free delivery chha. Heavy appliances ko lagi Rs. 700 charge lagcha."
translate,Translate the text below from Nepali to English:, ,Nepal ko paramparagat kheti vidhi sustainable ra prakriti mitra chan.,The traditional farming methods of Nepal are sustainable and eco-friendly.
translate,Translate the text below from Nepali to English:, ,Long-term goals achieve garna ma financial planning ko importance lai underestimate garnu hunna.,The importance of financial planning in achieving long-term goals cannot be underestimated.
translate,Translate the text below from English to Nepali:, ,Education provides opportunities and growth in life.,Education le manushya ko life ma opportunities ra growth dincha.
translate,Translate the text below from English to Nepali:, ,Music revives memories and triggers emotions.,Music le manushya ko memories lai revive garcha ra emotions lai trigger garcha.
translate,Translate the text below from Nepali to English:, ,Nepali samaj ma dherai jana le afno samudayi ko lagi kaam garchhan. Yo chha hamro samaj ko ek ramro paksha.,Many people in Nepal work for their community. This is a good aspect of our society.
