category,context,question,response,instruction,prompt,eval_prompt,model_generation
translate, ,"Maile sana vyapar suru garna yojana banaeko chu, tara maile pahila dherai research garnu parchha.","I am planning to start a small business, but I need to do more research first.",Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Maile sana vyapar suru garna yojana banaeko chu, tara maile pahila dherai research garnu parchha.<end_of_turn>
<start_of_turn>model
I am planning to start a small business, but I need to do more research first.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Maile sana vyapar suru garna yojana banaeko chu, tara maile pahila dherai research garnu parchha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Maile sana vyapar suru garna yojana banaeko chu, tara maile pahila dherai research garnu parchha.<end_of_turn>
<start_of_turn>model
I am planning to start a small business, but I need to do a lot of research first.<eos>"
open_qa,"kaapi, kalam, topi, kitaab","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Topi padhai ko samaan hoina, aru tinwota padhai ko samaan hun.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.

Context: kaapi, kalam, topi, kitaab<end_of_turn>
<start_of_turn>model
Topi padhai ko samaan hoina, aru tinwota padhai ko samaan hun.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.

Context: kaapi, kalam, topi, kitaab<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.

Context: kaapi, kalam, topi, kitaab<end_of_turn>
<start_of_turn>model
Kitaab chai pen hoina, aru tinwota pen hun.<eos>"
translate, ,car driving test ko preparation ko lagi maile online simulator use gare. aba practical test ko confidence barhyo.,"I used an online simulator to prepare for the car driving test. Now, my confidence for the practical test has increased.",Translate the given text in Nepali to English.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text in Nepali to English.
car driving test ko preparation ko lagi maile online simulator use gare. aba practical test ko confidence barhyo.<end_of_turn>
<start_of_turn>model
I used an online simulator to prepare for the car driving test. Now, my confidence for the practical test has increased.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text in Nepali to English.
car driving test ko preparation ko lagi maile online simulator use gare. aba practical test ko confidence barhyo.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text in Nepali to English.
car driving test ko preparation ko lagi maile online simulator use gare. aba practical test ko confidence barhyo.<end_of_turn>
<start_of_turn>model
For preparing for the car driving test, I used an online simulator. Now, I have greater confidence for the practical test.<eos>"
RAG,"Asus ROG Strix (Price: 95000) ma Intel i7, 16 GB RAM, RTX 3060 graphics card, ra RGB backlit keyboard cha. Laptop gaming ko lagi best ho. Warranty 2 barshako ho.",Asus ROG Strix gaming laptop ma graphics card kasto cha?,Asus ROG Strix ma RTX 3060 graphics card cha.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Asus ROG Strix gaming laptop ma graphics card kasto cha?
Context: Asus ROG Strix (Price: 95000) ma Intel i7, 16 GB RAM, RTX 3060 graphics card, ra RGB backlit keyboard cha. Laptop gaming ko lagi best ho. Warranty 2 barshako ho.<end_of_turn>
<start_of_turn>model
Asus ROG Strix ma RTX 3060 graphics card cha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Asus ROG Strix gaming laptop ma graphics card kasto cha?
Context: Asus ROG Strix (Price: 95000) ma Intel i7, 16 GB RAM, RTX 3060 graphics card, ra RGB backlit keyboard cha. Laptop gaming ko lagi best ho. Warranty 2 barshako ho.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Asus ROG Strix gaming laptop ma graphics card kasto cha?
Context: Asus ROG Strix (Price: 95000) ma Intel i7, 16 GB RAM, RTX 3060 graphics card, ra RGB backlit keyboard cha. Laptop gaming ko lagi best ho. Warranty 2 barshako ho.<end_of_turn>
<start_of_turn>model
Asus ROG Strix gaming laptop ma RTX 3060 graphics card cha.<eos>"
alpaca, ,Nepali youth generation ko sabai bhanda common issue bata ra solution suggest gara.,Common issue ho unemployment. Solution ho skill development ko lagi vocational training programs expand garnu ra entrepreneurship promote garnu., ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepali youth generation ko sabai bhanda common issue bata ra solution suggest gara.<end_of_turn>
<start_of_turn>model
Common issue ho unemployment. Solution ho skill development ko lagi vocational training programs expand garnu ra entrepreneurship promote garnu.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepali youth generation ko sabai bhanda common issue bata ra solution suggest gara.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepali youth generation ko sabai bhanda common issue bata ra solution suggest gara.<end_of_turn>
<start_of_turn>model
Issue: Unemployment. Solution: Skill development programs, entrepreneurship promotion, ra government jobs ko transparency badhauna.<eos>"
summary, ,Ek villager le rainwater harvesting system setup garcha. Aba yo system le drought ko problem solve garna madat garcha ra unko community ko pani ko shortage fix huncha.,Rainwater harvesting le drought ko problem solve garera pani ko shortage fix garcha.,Summarize the following text:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Summarize the following text:
Ek villager le rainwater harvesting system setup garcha. Aba yo system le drought ko problem solve garna madat garcha ra unko community ko pani ko shortage fix huncha.<end_of_turn>
<start_of_turn>model
Rainwater harvesting le drought ko problem solve garera pani ko shortage fix garcha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Summarize the following text:
Ek villager le rainwater harvesting system setup garcha. Aba yo system le drought ko problem solve garna madat garcha ra unko community ko pani ko shortage fix huncha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Summarize the following text:
Ek villager le rainwater harvesting system setup garcha. Aba yo system le drought ko problem solve garna madat garcha ra unko community ko pani ko shortage fix huncha.<end_of_turn>
<start_of_turn>model
Rainwater harvesting system le drought ko problem solve garcha.<eos>"
RAG,"Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.",Payment garna ko lagi payment notification kasari manage garna sakchu?,"Hajur, payment notifications manage garna mildaina. Account ma login garnuhos notifications herna ko lagi.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Payment garna ko lagi payment notification kasari manage garna sakchu?
Context: Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.<end_of_turn>
<start_of_turn>model
Hajur, payment notifications manage garna mildaina. Account ma login garnuhos notifications herna ko lagi.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Payment garna ko lagi payment notification kasari manage garna sakchu?
Context: Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Payment garna ko lagi payment notification kasari manage garna sakchu?
Context: Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.<end_of_turn>
<start_of_turn>model
Hajur, payment notification manage garna mildaina. Tapai le payment successful bhayepachi confirmation email ya SMS pathaune huncha.<eos>"
alpaca, ,Mero social media post banauna help gara. Post ko topic chha: New Year Resolution.,"New Year, New Goals! Aabaarko barsa ma healthy rahane, naya skills sikne, ra positive mindset rakhnu hos. Happy New Year, everyone!", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Mero social media post banauna help gara. Post ko topic chha: New Year Resolution.<end_of_turn>
<start_of_turn>model
New Year, New Goals! Aabaarko barsa ma healthy rahane, naya skills sikne, ra positive mindset rakhnu hos. Happy New Year, everyone!","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Mero social media post banauna help gara. Post ko topic chha: New Year Resolution.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Mero social media post banauna help gara. Post ko topic chha: New Year Resolution.<end_of_turn>
<start_of_turn>model
New Year ma aba kehi naya start garne time ho! Maile aba daily exercise ra healthy diet follow garna sochda chu. Aba tapa lai kehi naya start garna sochcha?<eos>"
open_qa, ,Nepali kahani ko ek vaakya ko udaharan dinuhos.,"Ek dinko kura ho, ek kisan ko khetma ek bagh aayo.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali kahani ko ek vaakya ko udaharan dinuhos.<end_of_turn>
<start_of_turn>model
Ek dinko kura ho, ek kisan ko khetma ek bagh aayo.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali kahani ko ek vaakya ko udaharan dinuhos.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali kahani ko ek vaakya ko udaharan dinuhos.<end_of_turn>
<start_of_turn>model
Maile mero ghar lai safai garda maile ek chhoto chithi paayo.<eos>"
summary, ,Pokhara ma ek din samudayik program ma sabai sathiharu sanga taal ko ramailo kura ra dherai sanskriti geet gaye. Yo program le purano mitrata jhagayo.,Pokhara program le taal ra geet ko madhyam bata mitrata jhagayo.,Summarize the following text:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Summarize the following text:
Pokhara ma ek din samudayik program ma sabai sathiharu sanga taal ko ramailo kura ra dherai sanskriti geet gaye. Yo program le purano mitrata jhagayo.<end_of_turn>
<start_of_turn>model
Pokhara program le taal ra geet ko madhyam bata mitrata jhagayo.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Summarize the following text:
Pokhara ma ek din samudayik program ma sabai sathiharu sanga taal ko ramailo kura ra dherai sanskriti geet gaye. Yo program le purano mitrata jhagayo.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Summarize the following text:
Pokhara ma ek din samudayik program ma sabai sathiharu sanga taal ko ramailo kura ra dherai sanskriti geet gaye. Yo program le purano mitrata jhagayo.<end_of_turn>
<start_of_turn>model
Pokhara ma samudayik program le purano mitrata jhagayo.<eos>"
RAG,"Product: Realme Smart TV X, Price: 22000, Features: 32-inch LED, Android TV, Dolby Audio",Realme TV ko price kati ho?,"Realme Smart TV X ko price 22000 ho. Isma 32-inch LED display, Android TV support, ra Dolby Audio cha.",Answer the question using the context if it is helpful to answer the question.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Realme TV ko price kati ho?
Context: Product: Realme Smart TV X, Price: 22000, Features: 32-inch LED, Android TV, Dolby Audio<end_of_turn>
<start_of_turn>model
Realme Smart TV X ko price 22000 ho. Isma 32-inch LED display, Android TV support, ra Dolby Audio cha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Realme TV ko price kati ho?
Context: Product: Realme Smart TV X, Price: 22000, Features: 32-inch LED, Android TV, Dolby Audio<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Realme TV ko price kati ho?
Context: Product: Realme Smart TV X, Price: 22000, Features: 32-inch LED, Android TV, Dolby Audio<end_of_turn>
<start_of_turn>model
Realme Smart TV X ko price 22000 ho. Isma 32-inch LED, Android TV, ra Dolby Audio cha.<eos>"
open_qa, ,Nepal ma jun month sabai bhanda jado huncha?,Poush,You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ma jun month sabai bhanda jado huncha?<end_of_turn>
<start_of_turn>model
Poush","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ma jun month sabai bhanda jado huncha?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ma jun month sabai bhanda jado huncha?<end_of_turn>
<start_of_turn>model
December month Nepal ma sabai bhanda jado huncha.<eos>"
alpaca, ,Nepal ko sabai bhanda popular river k ho?,Nepal ko sabai bhanda popular river Trishuli ho., ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepal ko sabai bhanda popular river k ho?<end_of_turn>
<start_of_turn>model
Nepal ko sabai bhanda popular river Trishuli ho.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepal ko sabai bhanda popular river k ho?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepal ko sabai bhanda popular river k ho?<end_of_turn>
<start_of_turn>model
Nepal ko sabai bhanda popular river Bhote Kosi ho.<eos>"
alpaca,"To control high blood pressure, maintain a healthy diet, exercise regularly, reduce salt intake, avoid smoking, and manage stress. Regular monitoring and medication may also be necessary.",High blood pressure lai control garna kasari sajilo huncha?,"High blood pressure control garna, healthy diet rakhnu, regular exercise garnu, salt intake kam garnu, smoking bata bachnu, ra stress manage garnu. Regular monitoring ra medication pani chahincha.", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
High blood pressure lai control garna kasari sajilo huncha?
Context: To control high blood pressure, maintain a healthy diet, exercise regularly, reduce salt intake, avoid smoking, and manage stress. Regular monitoring and medication may also be necessary.<end_of_turn>
<start_of_turn>model
High blood pressure control garna, healthy diet rakhnu, regular exercise garnu, salt intake kam garnu, smoking bata bachnu, ra stress manage garnu. Regular monitoring ra medication pani chahincha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
High blood pressure lai control garna kasari sajilo huncha?
Context: To control high blood pressure, maintain a healthy diet, exercise regularly, reduce salt intake, avoid smoking, and manage stress. Regular monitoring and medication may also be necessary.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
High blood pressure lai control garna kasari sajilo huncha?
Context: To control high blood pressure, maintain a healthy diet, exercise regularly, reduce salt intake, avoid smoking, and manage stress. Regular monitoring and medication may also be necessary.<end_of_turn>
<start_of_turn>model
High blood pressure lai control garna healthy diet follow garnus, regularly exercise garnus, salt kam khanus, smoking avoid garnus, ra stress manage garnus. Regular monitoring ani medication pani necessary huncha.<eos>"
RAG,Book delivery international locations ma selected countries ma available cha. Delivery charges weight ra destination ko adhar ma calculate huncha. Average delivery time 7-15 days huncha. Cash on delivery international orders ma lagu hudaina.,Book delivery international locations ma possible cha ki nai?,"Book delivery international locations ma possible cha, selected countries ma.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Book delivery international locations ma possible cha ki nai?
Context: Book delivery international locations ma selected countries ma available cha. Delivery charges weight ra destination ko adhar ma calculate huncha. Average delivery time 7-15 days huncha. Cash on delivery international orders ma lagu hudaina.<end_of_turn>
<start_of_turn>model
Book delivery international locations ma possible cha, selected countries ma.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Book delivery international locations ma possible cha ki nai?
Context: Book delivery international locations ma selected countries ma available cha. Delivery charges weight ra destination ko adhar ma calculate huncha. Average delivery time 7-15 days huncha. Cash on delivery international orders ma lagu hudaina.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Book delivery international locations ma possible cha ki nai?
Context: Book delivery international locations ma selected countries ma available cha. Delivery charges weight ra destination ko adhar ma calculate huncha. Average delivery time 7-15 days huncha. Cash on delivery international orders ma lagu hudaina.<end_of_turn>
<start_of_turn>model
Ho, international locations ma delivery available cha selected countries ma.<eos>"
alpaca, ,Nepali ma ek gratitude message lekha.,Timro sahayog ra maya ko lagi dherai dhanyabad. Timi le dekhako support le jindagi ma dherai motivation diyeko chha., ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepali ma ek gratitude message lekha.<end_of_turn>
<start_of_turn>model
Timro sahayog ra maya ko lagi dherai dhanyabad. Timi le dekhako support le jindagi ma dherai motivation diyeko chha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepali ma ek gratitude message lekha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepali ma ek gratitude message lekha.<end_of_turn>
<start_of_turn>model
Maile aaja ka din ma sabai ko lagi ek gratitude message likhyo. Yo message ma mero sabai lai love ra care ko feeling lekhdai thiye. Maile sabai lai dherai nai thank you bhanthyo.<eos>"
translate, ,Music brings a feeling of celebration and togetherness to life.,Music le manushya ko life ma celebration ra togetherness ko feeling dincha.,Translate the text below from English to Nepali:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
Music brings a feeling of celebration and togetherness to life.<end_of_turn>
<start_of_turn>model
Music le manushya ko life ma celebration ra togetherness ko feeling dincha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
Music brings a feeling of celebration and togetherness to life.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
Music brings a feeling of celebration and togetherness to life.<end_of_turn>
<start_of_turn>model
Music le manushya ko life ma celebration ra togetherness ko feeling dincha.<eos>"
open_qa, ,12 ko 5 bata guna garne ho bhane kati milcha?,12 ko 5 bata guna garne ho bhane 60 milcha.,You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
12 ko 5 bata guna garne ho bhane kati milcha?<end_of_turn>
<start_of_turn>model
12 ko 5 bata guna garne ho bhane 60 milcha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
12 ko 5 bata guna garne ho bhane kati milcha?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
12 ko 5 bata guna garne ho bhane kati milcha?<end_of_turn>
<start_of_turn>model
12 ko 5 bata guna garne ho bhane 100 milcha.<eos>"
open_qa, ,World War II ko karan ke thiyo?,"World War II ko karan ma Germany ko dictator Adolf Hitler ko aggression, Treaty of Versailles, ra international tension thiyo.",You are a helpful AI assistant. Answer the user question:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
World War II ko karan ke thiyo?<end_of_turn>
<start_of_turn>model
World War II ko karan ma Germany ko dictator Adolf Hitler ko aggression, Treaty of Versailles, ra international tension thiyo.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
World War II ko karan ke thiyo?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
World War II ko karan ke thiyo?<end_of_turn>
<start_of_turn>model
World War II ko karan Nazi Germany ra Japan ko expansionism thiyo.<eos>"
RAG,"GadgetStore, Chitwan-1, Narayanghat bata saman Kathmandu ko Upatyaka bhitra delivery free chha. Baaki Nepal ka thau haruma delivery charge applicable chha.",Tapaiharu le Kathmandu ma free delivery dinu huncha?,"Ho, Kathmandu ko Upatyaka bhitra free delivery available chha. Baaki thau haruma delivery charge lagcha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Tapaiharu le Kathmandu ma free delivery dinu huncha?
Context: GadgetStore, Chitwan-1, Narayanghat bata saman Kathmandu ko Upatyaka bhitra delivery free chha. Baaki Nepal ka thau haruma delivery charge applicable chha.<end_of_turn>
<start_of_turn>model
Ho, Kathmandu ko Upatyaka bhitra free delivery available chha. Baaki thau haruma delivery charge lagcha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Tapaiharu le Kathmandu ma free delivery dinu huncha?
Context: GadgetStore, Chitwan-1, Narayanghat bata saman Kathmandu ko Upatyaka bhitra delivery free chha. Baaki Nepal ka thau haruma delivery charge applicable chha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Tapaiharu le Kathmandu ma free delivery dinu huncha?
Context: GadgetStore, Chitwan-1, Narayanghat bata saman Kathmandu ko Upatyaka bhitra delivery free chha. Baaki Nepal ka thau haruma delivery charge applicable chha.<end_of_turn>
<start_of_turn>model
Ho, Kathmandu Upatyaka ma free delivery chha. Baaki Nepal ma delivery charge chha.<eos>"
RAG,"LG 55-inch OLED TV ek premium television ho. yeskoprice 200000 ho. Yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha. Hami sanga yo TV stock ma available cha.",LG 55-inch OLED TV available cha?,"LG 55-inch OLED TV stock ma available cha. Yesko price 200000 ho. Yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
LG 55-inch OLED TV available cha?
Context: LG 55-inch OLED TV ek premium television ho. yeskoprice 200000 ho. Yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha. Hami sanga yo TV stock ma available cha.<end_of_turn>
<start_of_turn>model
LG 55-inch OLED TV stock ma available cha. Yesko price 200000 ho. Yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
LG 55-inch OLED TV available cha?
Context: LG 55-inch OLED TV ek premium television ho. yeskoprice 200000 ho. Yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha. Hami sanga yo TV stock ma available cha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
LG 55-inch OLED TV available cha?
Context: LG 55-inch OLED TV ek premium television ho. yeskoprice 200000 ho. Yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha. Hami sanga yo TV stock ma available cha.<end_of_turn>
<start_of_turn>model
LG 55-inch OLED TV stock ma available cha. Price 200000 ho.<eos>"
translate, ,Yo kati tadha cha?,How far is it?,Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Yo kati tadha cha?<end_of_turn>
<start_of_turn>model
How far is it?","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Yo kati tadha cha?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Yo kati tadha cha?<end_of_turn>
<start_of_turn>model
How much is this?<eos>"
RAG,"Category: Refrigerator, Brand: LG, Model: Side-by-Side, Description: 668L capacity, inverter compressor, smart cooling, Price: Rs. 1,05,000",LG ko 668L side-by-side refrigerator kati cha?,"LG ko 668L side-by-side refrigerator ko price Rs. 1,05,000 ho. Isma inverter compressor ra smart cooling cha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
LG ko 668L side-by-side refrigerator kati cha?
Context: Category: Refrigerator, Brand: LG, Model: Side-by-Side, Description: 668L capacity, inverter compressor, smart cooling, Price: Rs. 1,05,000<end_of_turn>
<start_of_turn>model
LG ko 668L side-by-side refrigerator ko price Rs. 1,05,000 ho. Isma inverter compressor ra smart cooling cha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
LG ko 668L side-by-side refrigerator kati cha?
Context: Category: Refrigerator, Brand: LG, Model: Side-by-Side, Description: 668L capacity, inverter compressor, smart cooling, Price: Rs. 1,05,000<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
LG ko 668L side-by-side refrigerator kati cha?
Context: Category: Refrigerator, Brand: LG, Model: Side-by-Side, Description: 668L capacity, inverter compressor, smart cooling, Price: Rs. 1,05,000<end_of_turn>
<start_of_turn>model
LG ko 668L side-by-side refrigerator ko price Rs. 1,05,000 ho.<eos>"
