,category,context,question,response,instruction,prompt,eval_prompt,model_generation,model_response
806,alpaca, ,What is the concept of the cosmic microwave background? Explain in Roman Nepali.,Cosmic microwave background bhaneko radiation ho jasma Big Bang pachi bachiyeko leftover energy ho. Yo radiation le universe ko early conditions lai study garna madat garcha., ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
What is the concept of the cosmic microwave background? Explain in Roman Nepali.<end_of_turn>
<start_of_turn>model
Cosmic microwave background bhaneko radiation ho jasma Big Bang pachi bachiyeko leftover energy ho. Yo radiation le universe ko early conditions lai study garna madat garcha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
What is the concept of the cosmic microwave background? Explain in Roman Nepali.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
What is the concept of the cosmic microwave background? Explain in Roman Nepali.<end_of_turn>
<start_of_turn>model
Cosmic microwave background bhaneko universe ko ek ancient radiation ho, jo Big Bang ko time ma emit bhayo. Yo radiation le universe ko ek picture dekhna sakcha, jasma space ko early evolution ko clues pauna milcha.<eos>","Cosmic microwave background bhaneko universe ko ek ancient radiation ho, jo Big Bang ko time ma emit bhayo. Yo radiation le universe ko ek picture dekhna sakcha, jasma space ko early evolution ko clues pauna milcha."
807,RAG,"Nepal ko aarthik vikas ko mukhya kshetra krishi, paryatan, ra remittance ho. Krishi Nepal ko pramukh aarthik kshetra ho.",Nepal ko aarthik vikas ko mukhya kshetra k ho?,"Nepal ko aarthik vikas ko mukhya kshetra krishi, paryatan, ra remittance ho.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Nepal ko aarthik vikas ko mukhya kshetra k ho?
Context: Nepal ko aarthik vikas ko mukhya kshetra krishi, paryatan, ra remittance ho. Krishi Nepal ko pramukh aarthik kshetra ho.<end_of_turn>
<start_of_turn>model
Nepal ko aarthik vikas ko mukhya kshetra krishi, paryatan, ra remittance ho.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Nepal ko aarthik vikas ko mukhya kshetra k ho?
Context: Nepal ko aarthik vikas ko mukhya kshetra krishi, paryatan, ra remittance ho. Krishi Nepal ko pramukh aarthik kshetra ho.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Nepal ko aarthik vikas ko mukhya kshetra k ho?
Context: Nepal ko aarthik vikas ko mukhya kshetra krishi, paryatan, ra remittance ho. Krishi Nepal ko pramukh aarthik kshetra ho.<end_of_turn>
<start_of_turn>model
Nepal ko aarthik vikas ko mukhya kshetra krishi ho.<eos>",Nepal ko aarthik vikas ko mukhya kshetra krishi ho.
808,open_qa, ,Nepali culture ko khasiyat ke ho?,"Nepali culture diverse ani rich cha. Harek jat-jati ko aafno tradition ani festival huncha, jasle unity in diversity dekhauncha. Dashain, Tihar, Holi, ani Lhosar jastai chad sabai ko main highlight ho. Nepali le respect ko lagi elders ko aashirwad linu ani namaste garnu culture ko part ho. Folk songs, dances (jastai Tamang selo, Lakhey), ani foods (dhido, gundruk) Nepali identity ho. Art ra architecture, jastai stupas ani temples, world-famous cha.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali culture ko khasiyat ke ho?<end_of_turn>
<start_of_turn>model
Nepali culture diverse ani rich cha. Harek jat-jati ko aafno tradition ani festival huncha, jasle unity in diversity dekhauncha. Dashain, Tihar, Holi, ani Lhosar jastai chad sabai ko main highlight ho. Nepali le respect ko lagi elders ko aashirwad linu ani namaste garnu culture ko part ho. Folk songs, dances (jastai Tamang selo, Lakhey), ani foods (dhido, gundruk) Nepali identity ho. Art ra architecture, jastai stupas ani temples, world-famous cha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali culture ko khasiyat ke ho?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali culture ko khasiyat ke ho?<end_of_turn>
<start_of_turn>model
Nepali culture ko khasiyat ho hamro festival, music, dance, ra traditional dress.<eos>","Nepali culture ko khasiyat ho hamro festival, music, dance, ra traditional dress."
809,translate, ,"yo week ta ekdam stressful feel bhayo, tara weekend ma chai short getaway plan gareko chu. ekdam relax ra recharge hune bela cha.","This week felt so stressful, but Iâ€™ve planned a short getaway for the weekend. Itâ€™s time to relax and recharge.","Translate the given text from Roman Nepali language to English language.
","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

yo week ta ekdam stressful feel bhayo, tara weekend ma chai short getaway plan gareko chu. ekdam relax ra recharge hune bela cha.<end_of_turn>
<start_of_turn>model
This week felt so stressful, but Iâ€™ve planned a short getaway for the weekend. Itâ€™s time to relax and recharge.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

yo week ta ekdam stressful feel bhayo, tara weekend ma chai short getaway plan gareko chu. ekdam relax ra recharge hune bela cha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

yo week ta ekdam stressful feel bhayo, tara weekend ma chai short getaway plan gareko chu. ekdam relax ra recharge hune bela cha.<end_of_turn>
<start_of_turn>model
I've been feeling pretty stressed this week, but I planned a short getaway for the weekend. I just want to relax and recharge.<eos>","I've been feeling pretty stressed this week, but I planned a short getaway for the weekend. I just want to relax and recharge."
810,translate, ,Vishvavyapi bujhauta badhauna ma sanskritik badala karyakram ko mahattva lai upakma linu hunna.,The importance of cultural exchange programs in fostering global understanding cannot be ignored.,Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Vishvavyapi bujhauta badhauna ma sanskritik badala karyakram ko mahattva lai upakma linu hunna.<end_of_turn>
<start_of_turn>model
The importance of cultural exchange programs in fostering global understanding cannot be ignored.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Vishvavyapi bujhauta badhauna ma sanskritik badala karyakram ko mahattva lai upakma linu hunna.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Vishvavyapi bujhauta badhauna ma sanskritik badala karyakram ko mahattva lai upakma linu hunna.<end_of_turn>
<start_of_turn>model
The importance of cultural programs in fostering global understanding cannot be overstated.<eos>",The importance of cultural programs in fostering global understanding cannot be overstated.
811,alpaca,The sound of the waterfall is very soothing.,Translate the following English sentence into Roman Nepali.,Jharna ko awaz dherai shantidai chha., ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Translate the following English sentence into Roman Nepali.
Context: The sound of the waterfall is very soothing.<end_of_turn>
<start_of_turn>model
Jharna ko awaz dherai shantidai chha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Translate the following English sentence into Roman Nepali.
Context: The sound of the waterfall is very soothing.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Translate the following English sentence into Roman Nepali.
Context: The sound of the waterfall is very soothing.<end_of_turn>
<start_of_turn>model
Jharna ko awaj dherai soothing chha.<eos>",Jharna ko awaj dherai soothing chha.
812,open_qa, ,36 lai 4 bata bhag garne ho bhane kati milcha?,36 lai 4 bata bhag garne ho bhane 9 milcha.,You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
36 lai 4 bata bhag garne ho bhane kati milcha?<end_of_turn>
<start_of_turn>model
36 lai 4 bata bhag garne ho bhane 9 milcha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
36 lai 4 bata bhag garne ho bhane kati milcha?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
36 lai 4 bata bhag garne ho bhane kati milcha?<end_of_turn>
<start_of_turn>model
8 milne.<eos>",8 milne.
813,translate, ,samaya nai chaina,There's no time.,"Translate the given text from Roman Nepali language to English language.
","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

samaya nai chaina<end_of_turn>
<start_of_turn>model
There's no time.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

samaya nai chaina<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

samaya nai chaina<end_of_turn>
<start_of_turn>model
Time is running out.<eos>",Time is running out.
814,RAG,"SamanBazaar, Itahari-8, College Road ma electronics ra accessories ko delivery Itahari vitra matra free chha. Delivery charge lageko thau haru Dharan, ra Biratnagar ma ho.",Tapaiharu le free delivery kahan kahan dinu huncha?,Hamro free delivery Itahari vitra matra available chha. Dharan ra Biratnagar ma delivery charge lagcha.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Tapaiharu le free delivery kahan kahan dinu huncha?
Context: SamanBazaar, Itahari-8, College Road ma electronics ra accessories ko delivery Itahari vitra matra free chha. Delivery charge lageko thau haru Dharan, ra Biratnagar ma ho.<end_of_turn>
<start_of_turn>model
Hamro free delivery Itahari vitra matra available chha. Dharan ra Biratnagar ma delivery charge lagcha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Tapaiharu le free delivery kahan kahan dinu huncha?
Context: SamanBazaar, Itahari-8, College Road ma electronics ra accessories ko delivery Itahari vitra matra free chha. Delivery charge lageko thau haru Dharan, ra Biratnagar ma ho.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Tapaiharu le free delivery kahan kahan dinu huncha?
Context: SamanBazaar, Itahari-8, College Road ma electronics ra accessories ko delivery Itahari vitra matra free chha. Delivery charge lageko thau haru Dharan, ra Biratnagar ma ho.<end_of_turn>
<start_of_turn>model
Itahari vitra free delivery huncha. Dharan ra Biratnagar ma delivery charge lageko chha.<eos>",Itahari vitra free delivery huncha. Dharan ra Biratnagar ma delivery charge lageko chha.
815,translate, ,"Aajai maile mero ghar ko balcony ma new plants lagako xu, dherai ramro dekhinxa. Gardening le ta mind lai fresh nai garidinxa, ani malai pani ali time pass hunxa.","Today I planted new plants on my home balcony; they look so beautiful. Gardening really freshens up the mind, and it’s also a good way to pass time.",Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Aajai maile mero ghar ko balcony ma new plants lagako xu, dherai ramro dekhinxa. Gardening le ta mind lai fresh nai garidinxa, ani malai pani ali time pass hunxa.<end_of_turn>
<start_of_turn>model
Today I planted new plants on my home balcony; they look so beautiful. Gardening really freshens up the mind, and it’s also a good way to pass time.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Aajai maile mero ghar ko balcony ma new plants lagako xu, dherai ramro dekhinxa. Gardening le ta mind lai fresh nai garidinxa, ani malai pani ali time pass hunxa.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Aajai maile mero ghar ko balcony ma new plants lagako xu, dherai ramro dekhinxa. Gardening le ta mind lai fresh nai garidinxa, ani malai pani ali time pass hunxa.<end_of_turn>
<start_of_turn>model
Today I planted new plants on the balcony of my house, and they look so beautiful. Gardening really refreshes the mind, and it’s a great way to pass time.<eos>","Today I planted new plants on the balcony of my house, and they look so beautiful. Gardening really refreshes the mind, and it’s a great way to pass time."
816,alpaca, ,Nepali ma auta group project successfully complete garna ko lagi tips de.,"Group ma roles divide gar, clear timeline bana ra regular communication maintain gar.", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepali ma auta group project successfully complete garna ko lagi tips de.<end_of_turn>
<start_of_turn>model
Group ma roles divide gar, clear timeline bana ra regular communication maintain gar.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepali ma auta group project successfully complete garna ko lagi tips de.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepali ma auta group project successfully complete garna ko lagi tips de.<end_of_turn>
<start_of_turn>model
1. Clear goals define garnu, roles distribute garnu, ra timeline banau. 2. Regular communication garne, feedback ko importance rakne, ra deadlines lai follow garnu. 3. Team members ko strengths ko use garnu ra challenges ko lagi plans banau. 4. Project ko quality lai priority de ra timely updates dinu.<eos>","1. Clear goals define garnu, roles distribute garnu, ra timeline banau. 2. Regular communication garne, feedback ko importance rakne, ra deadlines lai follow garnu. 3. Team members ko strengths ko use garnu ra challenges ko lagi plans banau. 4. Project ko quality lai priority de ra timely updates dinu."
817,RAG,Tech Zone Nepal le festive season ko time ma 30% discount cha gadgets ra smartwatches ma. Tapai le latest smartwatches ra wireless earbuds ko selection paunuhunchha. Delivery Kathmandu ma free cha.,Festive season ko time ma kati discount cha?,Festive season ko time ma 30% discount cha gadgets ra smartwatches ma.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Festive season ko time ma kati discount cha?
Context: Tech Zone Nepal le festive season ko time ma 30% discount cha gadgets ra smartwatches ma. Tapai le latest smartwatches ra wireless earbuds ko selection paunuhunchha. Delivery Kathmandu ma free cha.<end_of_turn>
<start_of_turn>model
Festive season ko time ma 30% discount cha gadgets ra smartwatches ma.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Festive season ko time ma kati discount cha?
Context: Tech Zone Nepal le festive season ko time ma 30% discount cha gadgets ra smartwatches ma. Tapai le latest smartwatches ra wireless earbuds ko selection paunuhunchha. Delivery Kathmandu ma free cha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Festive season ko time ma kati discount cha?
Context: Tech Zone Nepal le festive season ko time ma 30% discount cha gadgets ra smartwatches ma. Tapai le latest smartwatches ra wireless earbuds ko selection paunuhunchha. Delivery Kathmandu ma free cha.<end_of_turn>
<start_of_turn>model
Festive season ma 30% discount cha gadgets ra smartwatches ma.<eos>",Festive season ma 30% discount cha gadgets ra smartwatches ma.
818,RAG,"TechNepal, Hetauda-9, Bhutandevi Chowk ma electronics showroom ho. Hetauda ma free delivery available chha. Aba saman ko order Rs. 5000 mathi bhaye Bharatpur ra Chitwan samma delivery free chha.",Bharatpur samma delivery charge lagcha?,"Bharatpur samma delivery free chha, tara Rs. 5000 mathi ko order hunu parcha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Bharatpur samma delivery charge lagcha?
Context: TechNepal, Hetauda-9, Bhutandevi Chowk ma electronics showroom ho. Hetauda ma free delivery available chha. Aba saman ko order Rs. 5000 mathi bhaye Bharatpur ra Chitwan samma delivery free chha.<end_of_turn>
<start_of_turn>model
Bharatpur samma delivery free chha, tara Rs. 5000 mathi ko order hunu parcha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Bharatpur samma delivery charge lagcha?
Context: TechNepal, Hetauda-9, Bhutandevi Chowk ma electronics showroom ho. Hetauda ma free delivery available chha. Aba saman ko order Rs. 5000 mathi bhaye Bharatpur ra Chitwan samma delivery free chha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Bharatpur samma delivery charge lagcha?
Context: TechNepal, Hetauda-9, Bhutandevi Chowk ma electronics showroom ho. Hetauda ma free delivery available chha. Aba saman ko order Rs. 5000 mathi bhaye Bharatpur ra Chitwan samma delivery free chha.<end_of_turn>
<start_of_turn>model
Rs. 5000 mathi ko order bhaye Bharatpur samma delivery free chha.<eos>",Rs. 5000 mathi ko order bhaye Bharatpur samma delivery free chha.
820,open_qa, ,Nepali itihas ko janakari dinuhos.,"Nepali itihas ko prarambh Lichhavi kaal bata huncha, Shaha rajvans le Nepal ko ekikaran gare, ani Rana kaal pachi prajatantra aayo.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali itihas ko janakari dinuhos.<end_of_turn>
<start_of_turn>model
Nepali itihas ko prarambh Lichhavi kaal bata huncha, Shaha rajvans le Nepal ko ekikaran gare, ani Rana kaal pachi prajatantra aayo.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali itihas ko janakari dinuhos.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali itihas ko janakari dinuhos.<end_of_turn>
<start_of_turn>model
Nepali itihas ko janakari dinuhos.<eos>",Nepali itihas ko janakari dinuhos.
821,translate, ,Technology le manushya ko life ma efficiency ra productivity badhaucha.,Technology increases efficiency and productivity in life.,Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Technology le manushya ko life ma efficiency ra productivity badhaucha.<end_of_turn>
<start_of_turn>model
Technology increases efficiency and productivity in life.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Technology le manushya ko life ma efficiency ra productivity badhaucha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Technology le manushya ko life ma efficiency ra productivity badhaucha.<end_of_turn>
<start_of_turn>model
Technology increases efficiency and productivity in life.<eos>",Technology increases efficiency and productivity in life.
822,RAG,"Product: Pigeon Electric Kettle, Price: 1500, Features: 1.5L Capacity, Auto Shut-Off, Stainless Steel",Electric kettles ma kun fast boil garne cha?,"Electric kettles ma Pigeon Electric Kettle fast boil garne cha. Isko price 1500 ho, ra isma 1.5L capacity, auto shut-off feature, ra stainless steel body cha.",Answer the question using the context if it is helpful to answer the question.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Electric kettles ma kun fast boil garne cha?
Context: Product: Pigeon Electric Kettle, Price: 1500, Features: 1.5L Capacity, Auto Shut-Off, Stainless Steel<end_of_turn>
<start_of_turn>model
Electric kettles ma Pigeon Electric Kettle fast boil garne cha. Isko price 1500 ho, ra isma 1.5L capacity, auto shut-off feature, ra stainless steel body cha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Electric kettles ma kun fast boil garne cha?
Context: Product: Pigeon Electric Kettle, Price: 1500, Features: 1.5L Capacity, Auto Shut-Off, Stainless Steel<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Electric kettles ma kun fast boil garne cha?
Context: Product: Pigeon Electric Kettle, Price: 1500, Features: 1.5L Capacity, Auto Shut-Off, Stainless Steel<end_of_turn>
<start_of_turn>model
Pigeon Electric Kettle fast boil garne cha, isko price 1500 ho, ra isma 1.5L capacity, auto shut-off, ra stainless steel material cha.<eos>","Pigeon Electric Kettle fast boil garne cha, isko price 1500 ho, ra isma 1.5L capacity, auto shut-off, ra stainless steel material cha."
823,translate, ,Dhirastariya lakshya prapti ma arthik yojana ko mahattva lai kam aakalan garnu hunna.,The importance of financial planning in achieving long-term goals cannot be underestimated.,Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Dhirastariya lakshya prapti ma arthik yojana ko mahattva lai kam aakalan garnu hunna.<end_of_turn>
<start_of_turn>model
The importance of financial planning in achieving long-term goals cannot be underestimated.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Dhirastariya lakshya prapti ma arthik yojana ko mahattva lai kam aakalan garnu hunna.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Dhirastariya lakshya prapti ma arthik yojana ko mahattva lai kam aakalan garnu hunna.<end_of_turn>
<start_of_turn>model
The importance of financial planning in achieving long-term goals should not be underestimated.<eos>",The importance of financial planning in achieving long-term goals should not be underestimated.
824,RAG,"Nepal ma 8 ota out of 14 world ko 8,000 meters bhanda mathi ko chuchura chhan. Yaha Annapurna, Dhaulagiri, ra Makalu jasto chuchura chhan, jun climbers ko lagi prasiddha chhan.","Nepal ma kati ota 8,000 meters mathi ko chuchura chhan?","Nepal ma 8 ota 8,000 meters mathi ko chuchura chhan.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Nepal ma kati ota 8,000 meters mathi ko chuchura chhan?
Context: Nepal ma 8 ota out of 14 world ko 8,000 meters bhanda mathi ko chuchura chhan. Yaha Annapurna, Dhaulagiri, ra Makalu jasto chuchura chhan, jun climbers ko lagi prasiddha chhan.<end_of_turn>
<start_of_turn>model
Nepal ma 8 ota 8,000 meters mathi ko chuchura chhan.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Nepal ma kati ota 8,000 meters mathi ko chuchura chhan?
Context: Nepal ma 8 ota out of 14 world ko 8,000 meters bhanda mathi ko chuchura chhan. Yaha Annapurna, Dhaulagiri, ra Makalu jasto chuchura chhan, jun climbers ko lagi prasiddha chhan.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Nepal ma kati ota 8,000 meters mathi ko chuchura chhan?
Context: Nepal ma 8 ota out of 14 world ko 8,000 meters bhanda mathi ko chuchura chhan. Yaha Annapurna, Dhaulagiri, ra Makalu jasto chuchura chhan, jun climbers ko lagi prasiddha chhan.<end_of_turn>
<start_of_turn>model
Nepal ma 8 ota 8,000 meters bhanda mathi ko chuchura chhan.<eos>","Nepal ma 8 ota 8,000 meters bhanda mathi ko chuchura chhan."
825,RAG,"Chitwan National Park ko location Bharat border ko najik cha, ra Sauraha ma safari tours, jungle walks, ra elephant rides ko suvidha haru available cha. Park ko diverse wildlife jasma tigers, rhinos, ra elephants haru dekhna sakinchha, ra yaha ko natural beauty tourist haru ko lagi ekdamai attractive cha.",Chitwan National Park kahaan cha?,"Chitwan National Park Bharat ko border ko najik cha, Chitwan district ma.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Chitwan National Park kahaan cha?
Context: Chitwan National Park ko location Bharat border ko najik cha, ra Sauraha ma safari tours, jungle walks, ra elephant rides ko suvidha haru available cha. Park ko diverse wildlife jasma tigers, rhinos, ra elephants haru dekhna sakinchha, ra yaha ko natural beauty tourist haru ko lagi ekdamai attractive cha.<end_of_turn>
<start_of_turn>model
Chitwan National Park Bharat ko border ko najik cha, Chitwan district ma.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Chitwan National Park kahaan cha?
Context: Chitwan National Park ko location Bharat border ko najik cha, ra Sauraha ma safari tours, jungle walks, ra elephant rides ko suvidha haru available cha. Park ko diverse wildlife jasma tigers, rhinos, ra elephants haru dekhna sakinchha, ra yaha ko natural beauty tourist haru ko lagi ekdamai attractive cha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Chitwan National Park kahaan cha?
Context: Chitwan National Park ko location Bharat border ko najik cha, ra Sauraha ma safari tours, jungle walks, ra elephant rides ko suvidha haru available cha. Park ko diverse wildlife jasma tigers, rhinos, ra elephants haru dekhna sakinchha, ra yaha ko natural beauty tourist haru ko lagi ekdamai attractive cha.<end_of_turn>
<start_of_turn>model
Chitwan National Park Bharat border najik cha, ra Sauraha ma safari tours, jungle walks, ra elephant rides haru available cha.<eos>","Chitwan National Park Bharat border najik cha, ra Sauraha ma safari tours, jungle walks, ra elephant rides haru available cha."
